NOMAD1,YM,RAJ2000,DEJ2000,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
0338-0012456,.M,24.9480958,-56.1964003,H,286.1,1.0,16.6,1.4,6.528,T,5.692,T,5.260,B,4.043,6.741,3.509,*
0362-0012367,YM,25.6221486,-53.7408342,H,166.9,0.5,-106.7,0.5,6.024,T,5.528,T,5.200,B,4.791,4.399,4.339,R
0364-0012145,.M,26.5260956,-53.5220372,H,126.4,0.5,59.0,0.5,5.067,T,5.033,T,5.010,B,4.988,5.025,4.964,R
0377-0021185,Y.,26.3393361,-52.2585361,B,0.0,0.0,0.0,0.0,20.050,B,5.840,Y,18.290,B,,,,
0347-0008363,YM,17.0961739,-55.2457603,H,21.1,0.5,29.6,0.6,3.911,T,4.007,T,4.070,B,4.216,4.214,4.203,R
0391-0014168,YM,26.5248594,-50.8162558,H,43.6,0.5,-17.4,0.6,7.125,T,5.499,T,4.620,B,2.041,1.296,1.090,R
0376-0006866,.M,8.6159694,-52.3730903,H,227.8,0.5,38.2,0.4,5.996,T,5.576,T,5.300,B,4.743,4.490,4.434,R
0390-0006922,.M,12.6716100,-50.9868158,H,62.9,0.4,44.6,0.4,5.565,T,5.233,T,5.010,B,4.368,4.551,4.368,R
0409-0011344,YM,22.8129358,-49.0727022,H,138.2,0.5,154.1,0.4,4.904,T,3.942,T,3.340,B,2.225,1.703,1.629,R
0432-0013616,YM,16.5210283,-46.7184139,H,-70.1,18.1,31.6,15.9,4.239,T,3.366,T,2.820,B,1.653,1.231,1.173,R
0444-0010268,.M,18.7963375,-45.5316644,H,664.4,0.5,178.1,0.4,5.490,T,4.967,T,4.620,B,4.094,3.718,3.782,R
0466-0012247,YM,22.0913625,-43.3182342,H,-18.2,0.4,-207.7,0.4,5.044,T,3.443,T,2.560,B,0.610,-0.324,-0.497,R
0384-0024233,.M,34.1274389,-51.5121647,H,90.7,0.5,-21.8,0.5,3.435,T,3.529,T,3.580,B,4.025,3.951,4.126,R
0383-0023279,YM,28.9894681,-51.6088961,H,681.2,0.6,284.2,0.4,4.532,T,3.711,T,3.180,B,2.277,1.887,1.729,R
0422-0029144,YM,36.7463428,-47.7038403,H,19.9,0.5,-5.4,0.4,4.100,T,4.220,T,4.290,B,4.894,4.658,4.602,R
0397-0015113,YM,27.7268122,-50.2061378,H,-47.9,0.5,-4.2,0.5,6.079,T,5.934,T,5.840,B,5.543,5.437,5.421,R
0426-0024790,.M,29.2920019,-47.3852775,H,101.6,1.1,8.7,0.6,5.674,T,4.841,T,4.310,B,3.278,2.771,2.665,R
0436-0016222,YM,28.4114236,-46.3026686,H,-92.3,0.5,-91.4,0.5,5.982,T,4.434,T,3.550,B,0.452,-0.504,-0.773,R
0452-0016434,YM,30.4265675,-44.7135092,H,-31.8,0.4,-48.7,0.5,6.661,T,5.153,T,4.270,B,2.512,1.804,1.566,R
0464-0017810,YM,32.2887189,-43.5165961,H,-48.3,0.5,-51.4,0.5,7.052,T,5.837,T,5.100,B,3.572,2.869,2.774,R
0471-0024912,.M,39.9499694,-42.8916700,H,92.1,0.8,-15.0,0.5,4.800,T,4.728,T,4.690,B,4.677,4.620,4.459,R
0501-0024041,YM,40.1668100,-39.8553756,H,135.1,0.4,-27.3,0.4,5.102,T,4.122,T,3.510,B,2.096,1.562,1.506,R
0516-0023899,YM,40.5275283,-38.3836864,H,20.4,0.5,12.9,0.5,6.890,T,5.995,T,5.440,B,4.496,3.974,3.958,R
0479-0026456,YM,29.9117272,-42.0305319,H,-50.5,0.4,-99.7,0.4,6.615,T,5.569,T,4.920,B,3.741,3.136,3.051,R
0475-0025809,YM,28.5918047,-42.4969500,H,-34.3,0.6,-28.3,1.3,5.057,T,5.105,T,5.140,B,5.168,5.246,5.171,R
0488-0020328,YM,33.6331061,-41.1667647,H,-20.8,0.5,-26.1,0.5,6.856,T,5.914,T,5.320,B,4.342,3.748,3.725,R
0525-0030437,Y.,34.5422333,-37.4317611,B,0.0,0.0,0.0,0.0,18.380,Y,5.560,Y,20.950,B,,,,
0553-0020545,YM,38.2792772,-34.6499669,H,-17.4,0.4,-17.9,0.5,6.964,T,5.895,T,5.250,B,4.086,3.462,3.390,R
0561-0021353,.M,37.0070958,-33.8110392,H,18.5,0.5,5.5,0.5,5.209,T,5.126,T,5.080,B,5.118,5.027,4.943,R
0592-0023510,.M,33.2269600,-30.7238253,H,15.3,0.6,7.1,0.5,5.246,T,5.258,T,5.270,B,5.269,5.304,5.206,
0424-0009242,.M,11.4399706,-47.5519853,H,183.9,0.5,78.3,0.5,6.390,T,5.802,T,5.400,B,4.666,4.155,4.298,R
0411-0004153,YM,7.8540861,-48.8035144,H,140.7,0.4,19.4,0.4,4.777,T,4.752,T,4.740,B,4.668,4.770,4.700,R
0419-0004135,.M,8.9215664,-48.0009069,H,47.1,0.5,-101.4,0.5,5.918,T,5.519,T,5.250,B,4.790,4.625,4.501,R
0417-0003948,YM,7.6088239,-48.2149106,H,163.4,0.5,-87.2,0.4,5.984,T,5.673,T,5.470,B,4.935,4.628,4.682,R
0439-0005751,YM,10.3314653,-46.0850069,H,-28.9,0.5,1.0,0.4,5.557,T,4.605,T,4.020,B,2.802,2.326,2.197,R
0396-0000169,YM,0.3338300,-50.3373733,H,7.3,0.5,10.5,0.4,7.177,T,5.545,T,4.670,B,2.443,1.637,1.461,R
0409-0000773,.M,1.5798975,-49.0751911,H,575.2,0.4,-39.9,0.5,6.171,T,5.711,T,5.400,B,4.690,4.645,4.474,R
0411-0000146,YM,0.2690933,-48.8098758,H,-17.9,0.5,-6.7,0.5,6.601,T,5.705,T,5.150,B,4.376,3.774,3.740,R
0473-0009975,YM,11.2377208,-42.6765586,H,-89.0,0.5,-96.1,0.4,6.194,T,5.934,T,5.770,B,5.360,5.272,5.176,R
0436-0008850,.M,15.7049578,-46.3973114,H,-2.2,0.4,10.9,0.4,6.266,T,5.394,T,4.830,B,3.862,3.345,3.255,R
0485-0012976,YM,21.1699433,-41.4925489,H,16.9,0.4,-36.9,0.4,6.434,T,5.423,T,4.790,B,3.951,3.278,3.197,R
0485-0010491,.M,16.9493886,-41.4869161,H,36.0,0.4,7.8,0.6,5.360,T,5.212,T,5.120,B,4.860,4.838,4.777,R
0521-0011745,.M,18.1893033,-37.8564789,H,88.9,0.5,-30.7,0.5,6.203,T,5.942,T,5.780,B,5.426,5.288,5.205,R
0510-0009048,YM,15.3261483,-38.9165275,H,66.9,0.6,49.9,0.4,6.780,T,5.588,T,4.870,B,3.323,2.653,2.591,R
0442-0001634,YM,2.3526747,-45.7474264,H,122.1,0.8,-180.1,0.7,4.887,T,3.883,T,3.250,B,2.189,1.756,1.616,R
0463-0004125,YM,6.5508408,-43.6798297,H,106.1,0.4,32.8,0.5,4.103,T,3.935,T,3.850,B,3.738,3.584,3.589,R
0476-0006823,YM,6.5710456,-42.3059817,H,232.7,0.5,-353.6,0.8,3.471,T,2.380,T,1.710,B,0.578,-0.089,-0.166,R
0500-0004487,YM,7.1105039,-39.9150025,H,135.9,0.5,-41.3,0.5,7.006,T,5.433,T,4.550,B,2.282,1.493,1.348,R
0515-0006742,.M,11.0504136,-38.4216858,H,247.0,0.7,120.6,0.4,7.062,T,5.909,T,5.210,B,3.954,3.266,3.162,R
0531-0020635,YM,23.2335508,-36.8652311,H,0.0,0.5,-20.3,0.5,6.494,T,5.499,T,4.880,B,3.911,3.217,3.148,R
