NOMAD1,YM,RAJ2000,DEJ2000,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1226-0149989,YM,93.0838497,32.6933794,H,-8.6,1.2,-4.0,0.6,7.473,T,5.794,T,4.910,B,2.321,1.499,1.268,
1158-0085332,.M,84.9341622,25.8970908,H,9.7,0.8,-23.7,0.5,5.016,T,5.156,T,5.240,B,5.415,5.503,5.511,
1192-0098257,.M,84.8263000,29.2152125,H,-1.4,0.7,-7.2,0.4,6.117,T,5.988,T,5.910,B,5.474,5.467,5.391,
1179-0128705,YM,87.7421239,27.9678614,H,-3.0,1.1,11.5,0.8,6.538,T,5.588,T,5.000,B,3.721,3.281,3.099,
1186-0085044,.M,81.5729722,28.6074500,H,23.2,1.0,-174.2,0.5,1.620,T,1.675,T,1.720,B,1.854,1.881,2.004,
1202-0090236,.M,81.7844706,30.2086031,H,0.2,0.8,-4.5,0.5,5.862,T,5.724,T,5.640,B,5.057,5.027,4.974,
1195-0085557,.M,80.3028639,29.5698839,H,-1.5,0.9,-0.1,0.5,5.722,T,5.659,T,5.630,B,5.525,5.556,5.519,
1211-0088074,.M,81.1604972,31.1431478,H,-10.6,0.7,-6.2,0.5,5.959,T,5.925,T,5.920,B,5.674,5.655,5.666,
1204-0099003,YM,84.6586883,30.4924122,H,-21.1,0.9,-11.9,0.6,5.816,T,5.415,T,5.150,B,4.303,3.946,3.880,
1221-0114368,YM,83.1819706,32.1920217,H,-1.8,0.8,-4.0,0.6,4.980,T,4.737,T,4.590,B,4.246,4.076,3.999,
1217-0111860,YM,88.7457894,31.7014956,H,-45.1,1.2,-179.8,0.9,6.032,T,5.903,T,5.820,B,5.586,5.570,5.517,
1273-0147100,YM,87.7601556,37.3055728,H,36.9,0.8,-44.7,0.5,6.392,T,4.742,T,3.860,B,1.747,0.864,0.677,
1272-0153530,.M,89.9302872,37.2125850,H,42.0,1.0,-73.6,0.5,2.564,T,2.606,T,2.640,B,2.383,2.391,2.396,
1284-0145511,.M,91.6462403,38.4826442,H,10.7,1.0,-52.7,0.5,5.577,T,5.352,T,5.210,B,5.084,4.939,4.756,
1291-0145208,YM,87.8724958,39.1484803,H,8.4,0.8,0.3,0.6,5.096,T,3.967,T,3.280,B,2.178,1.665,1.522,
0528-0334376,YM,175.8632800,-37.1901556,H,-19.0,0.5,-21.8,0.5,7.462,T,5.980,T,5.100,B,3.609,2.777,2.622,R
0560-0270149,.M,178.2271686,-33.9081244,H,-58.0,0.8,2.3,0.6,4.265,T,4.354,T,4.400,B,4.616,4.557,4.431,R
0571-0372471,.M,186.7153761,-32.8301208,H,-5.6,0.6,-30.0,0.4,5.568,T,5.557,T,5.560,B,5.477,5.475,5.443,R
0595-0295303,YM,189.7644100,-30.4223872,H,-38.6,0.7,-15.5,0.5,7.091,T,5.872,T,5.130,B,3.774,3.043,2.951,
0602-0284157,YM,181.6699789,-29.7602553,C,-9.8,4.9,10.5,4.8,14.590,o,5.380,Y,10.500,e,11.495,10.802,10.065,
0651-0278477,YM,185.8399417,-24.8406689,H,-21.3,0.8,-19.5,0.4,6.814,T,5.664,T,4.960,B,3.759,3.108,3.028,
0552-0266387,.M,175.0532881,-34.7446600,H,-44.0,0.6,-1.8,0.4,4.613,T,4.681,T,4.720,B,4.822,4.948,4.791,R
0564-0276440,YM,174.1456036,-33.5700575,H,29.3,0.8,-33.9,0.6,6.939,T,5.904,T,5.260,B,3.895,3.286,3.230,R
0575-0355290,.M,175.4331189,-32.4994036,H,-5.5,0.8,-33.4,0.4,6.716,T,5.214,T,4.330,B,2.588,1.844,1.663,
0571-0349484,.M,173.6228625,-32.8313397,H,-670.9,0.7,823.8,0.4,6.742,T,5.966,T,5.470,B,4.783,4.137,4.022,R
0581-0317109,YM,173.2504808,-31.8576253,H,-209.0,0.8,-41.6,0.4,4.456,T,3.534,T,2.950,B,1.993,1.526,1.471,
0591-0280843,.M,177.9233736,-30.8348089,H,-10.4,1.0,-293.3,0.5,6.356,T,5.857,T,5.520,B,5.105,4.806,4.522,
0589-0276220,YM,173.2255436,-31.0872258,H,-28.5,0.5,4.0,0.4,6.732,T,5.144,T,4.260,B,2.061,1.326,1.141,
0607-0273088,.M,173.0668486,-29.2633006,H,-18.5,1.5,141.5,1.5,6.158,T,5.680,T,5.360,B,6.655,4.325,4.496,
0607-0273099,YM,173.0683494,-29.2610228,H,-20.3,1.0,144.4,0.6,6.080,T,5.592,T,,,4.315,7.120,6.375,
0615-0274764,YM,178.9172150,-28.4771031,H,3.8,0.5,-27.1,0.5,7.440,T,5.908,T,5.030,B,3.254,2.480,2.279,
0652-0276108,.M,182.1034039,-24.7288756,H,100.1,0.6,-39.3,0.5,4.310,T,4.023,T,3.830,B,3.524,3.363,3.306,
0663-0271848,.M,182.7659975,-23.6024228,H,-65.5,0.5,-20.6,0.4,5.495,T,5.446,T,5.420,B,5.336,5.357,5.320,
0673-0330926,.M,182.5311692,-22.6197667,H,-71.5,0.6,10.5,0.4,4.349,T,2.994,T,2.140,B,0.839,0.050,-0.058,
0632-0323595,YM,177.1878442,-26.7497772,H,-34.8,0.6,-9.6,0.4,6.671,T,5.123,T,4.240,B,0.870,-0.019,-0.258,
0642-0276670,.M,178.6772478,-25.7138875,H,48.9,0.6,73.5,0.5,6.131,T,5.279,T,4.740,B,3.697,3.093,3.064,
0616-0295982,YM,191.0022114,-28.3239569,H,-29.5,0.7,-39.4,0.4,6.834,T,5.463,T,4.600,B,3.214,2.512,2.338,
0624-0380482,YM,192.1094083,-27.5973842,H,-152.8,0.7,-63.3,0.4,6.592,T,5.664,T,5.080,B,4.026,3.421,3.426,
0628-0373185,.M,189.4261611,-27.1388878,H,79.5,0.7,-94.1,0.4,5.716,T,5.418,T,5.230,B,4.758,4.629,4.535,
0666-0285324,.M,188.5968108,-23.3967594,H,0.8,0.8,-56.0,0.5,3.515,T,2.626,T,2.070,B,1.183,0.748,0.718,
0663-0276273,YM,187.5726903,-23.6964189,H,-25.3,0.7,0.6,0.5,7.341,T,5.630,T,4.750,B,2.568,1.802,1.616,
0668-0322209,YM,197.2636264,-23.1180700,H,-19.9,0.7,-39.8,0.4,5.974,T,4.940,T,4.300,B,3.369,2.843,2.734,
0700-0274145,YM,198.5453961,-19.9309467,H,-120.2,0.9,159.6,0.5,6.166,T,5.329,T,4.790,B,3.741,3.169,3.113,
0700-0274607,YM,198.9948806,-19.9431031,H,304.7,0.8,-115.4,0.5,6.235,T,5.226,T,4.600,B,3.508,2.914,2.830,
0738-0268971,YM,198.0147625,-16.1986017,H,96.1,0.8,-287.2,0.4,5.464,T,5.038,T,4.760,B,4.376,4.110,4.075,
0678-0341415,YM,185.0448669,-22.1757006,H,-105.4,0.9,-30.2,0.6,6.774,T,5.953,T,5.420,B,4.698,4.107,4.104,
0677-0338214,.M,185.1401731,-22.2159014,H,-109.6,0.7,-27.7,0.5,5.099,T,5.181,T,5.230,B,5.312,5.336,5.317,
0717-0298206,YM,189.6858806,-18.2501003,H,-122.6,0.6,26.6,0.5,6.265,T,5.989,T,5.810,B,5.371,5.248,5.155,
0691-0274645,YM,183.7482631,-20.8442200,H,1.3,0.7,5.5,0.9,6.858,T,5.813,T,5.160,B,4.153,3.583,3.509,
0703-0257602,YM,180.2131647,-19.6589822,H,-16.8,0.6,6.6,0.4,5.075,T,5.251,T,5.350,B,5.676,5.817,5.822,
0734-0268648,.M,187.4660642,-16.5154328,H,-209.9,0.6,-139.3,0.4,2.919,T,2.926,T,2.940,B,2.934,3.000,3.003,
0724-0339639,.M,183.9515425,-17.5419297,H,-159.5,0.6,22.3,0.5,2.475,T,2.538,T,2.580,B,2.847,2.975,2.944,
0738-0260596,.M,188.0176122,-16.1960078,H,-424.3,0.6,-58.4,0.4,4.634,T,4.302,T,4.080,B,3.608,3.371,3.371,
0761-0261611,YM,188.1499936,-13.8591053,H,-146.6,0.7,-53.8,0.5,6.069,T,5.734,T,5.510,B,5.136,4.974,4.881,
0771-0321602,YM,188.3927450,-12.8302031,H,-16.9,0.7,51.6,0.4,6.415,T,5.589,T,5.060,B,4.150,3.616,3.600,
0769-0303857,.M,190.3164633,-13.0138969,H,-115.9,1.3,8.9,1.5,6.231,T,5.852,T,5.600,B,6.567,6.929,4.722,*
0783-0275158,YM,193.5777475,-11.6485703,H,-138.9,0.8,10.5,0.4,6.055,T,5.977,T,5.930,B,5.868,5.854,5.825,
0619-0299558,.M,167.1833306,-28.0806706,H,-73.0,0.5,-22.2,0.5,5.488,T,5.423,T,5.380,B,5.312,5.352,5.235,
0627-0339712,.M,166.4898747,-27.2878536,H,34.4,0.5,-17.1,0.5,5.653,T,5.708,T,5.750,B,5.741,5.783,5.764,
0627-0339447,.M,166.3329475,-27.2936125,H,-190.7,1.4,-6.8,1.6,5.256,T,4.920,T,4.700,B,4.336,4.081,4.086,
0655-0266613,.M,172.4108997,-24.4640114,H,-49.6,0.7,19.3,0.6,5.854,T,5.813,T,5.790,B,5.722,5.727,5.692,
0671-0306892,.M,167.9145386,-22.8258472,H,4.7,0.5,-99.0,0.6,4.477,T,4.448,T,4.440,B,4.323,4.415,4.336,
0716-0258534,.M,176.1907317,-18.3506744,H,27.1,0.5,-24.5,0.4,5.661,T,4.712,T,4.120,B,3.169,2.657,2.557,
0712-0242420,.M,170.8411828,-18.7799736,H,-305.9,0.7,-29.0,0.5,5.468,T,5.079,T,4.820,B,4.357,4.158,4.092,
0723-0322297,.M,171.2205158,-17.6840097,H,-97.0,0.7,3.2,0.5,4.251,T,4.072,T,3.960,B,3.648,3.523,3.545,
0698-0252147,YM,163.3730486,-20.1387314,H,80.5,0.5,-239.0,0.5,5.676,T,5.240,T,4.950,B,4.370,4.046,4.181,
0717-0265687,YM,164.9436028,-18.2987836,H,-462.3,0.8,129.1,0.7,5.173,T,4.079,T,3.410,B,2.314,1.760,1.733,
0736-0239266,YM,164.8788658,-16.3537014,H,-43.1,0.6,-8.5,0.6,7.541,T,5.901,T,5.020,B,2.559,1.764,1.536,
0727-0316598,YM,161.7168961,-17.2968739,H,-16.0,1.1,-17.9,1.2,5.544,T,5.431,T,5.370,B,5.227,5.222,5.107,
0738-0237969,.M,162.4062017,-16.1936486,H,92.7,0.5,199.0,0.6,4.368,T,3.099,T,2.320,B,1.080,0.413,0.247,
0752-0252696,.M,169.8351981,-14.7785417,H,-124.4,0.6,206.6,0.6,4.671,T,3.555,T,2.880,B,1.606,1.004,0.861,
0776-0302113,YM,171.7896522,-12.3567494,H,-98.2,0.6,23.8,0.5,6.364,T,5.932,T,5.640,B,5.025,4.834,4.767,
0759-0246393,YM,165.0487233,-14.0833683,H,-8.7,0.7,-28.6,0.7,7.417,T,5.873,T,4.990,B,3.164,2.418,2.234,
0728-0341655,YM,179.0039731,-17.1508289,H,-49.0,0.6,-8.2,0.4,5.141,T,5.157,T,5.170,B,5.179,5.211,5.176,
0795-0234423,.M,180.1852142,-10.4460142,H,141.9,0.6,-483.3,0.5,6.275,T,5.541,T,,,4.557,4.070,4.027,
0764-0256518,.M,185.2321364,-13.5657242,H,-5.0,0.6,10.2,0.4,6.183,T,5.146,T,4.510,B,3.517,2.907,2.834,
0783-0268438,YM,186.2990239,-11.6105903,H,-58.9,0.6,-31.8,0.4,5.973,T,5.927,T,5.910,B,5.894,5.913,5.828,
0805-0254709,YM,188.4447858,-9.4520775,H,-82.2,0.7,0.1,0.5,5.440,T,5.472,T,5.490,B,5.560,5.636,5.586,
0767-0267974,YM,174.6667361,-13.2019431,H,99.6,0.5,126.1,0.4,5.945,T,5.491,T,5.180,B,4.791,4.336,4.145,
0801-0235766,.M,174.1704722,-9.8022469,H,-59.3,0.6,2.8,0.5,4.607,T,4.668,T,4.710,B,4.788,4.844,4.777,
0791-0227354,YM,171.1524625,-10.8593233,H,-24.1,0.6,24.4,0.5,6.387,T,4.820,T,3.940,B,1.927,1.191,1.010,
0821-0288077,YM,173.1980694,-7.8275233,H,-7.5,0.7,0.4,0.6,7.346,T,5.938,T,5.060,B,3.887,3.129,2.936,
0846-0233119,YM,177.7592972,-5.3333319,H,0.8,0.7,0.8,0.5,6.671,T,5.628,T,4.990,B,3.911,3.287,3.208,
0722-0362712,YM,200.7546442,-17.7352739,H,-50.0,0.7,-28.6,0.5,6.337,T,5.360,T,4.750,B,3.745,3.189,3.123,
0746-0282098,YM,203.2151739,-15.3630117,H,-77.2,0.9,0.2,0.5,6.772,T,5.536,T,4.790,B,3.270,2.653,2.500,
0740-0270983,.M,201.8631831,-15.9735783,H,-122.1,0.6,21.6,0.4,5.850,T,4.757,T,4.090,B,3.140,2.621,2.524,
0738-0276939,.M,206.1242786,-16.1790725,H,12.6,0.8,-5.6,0.8,6.326,T,5.575,T,5.090,B,4.158,3.709,3.605,
0767-0302378,YM,203.6685406,-13.2143239,H,-47.9,1.0,-7.3,0.6,5.959,T,5.932,T,5.920,B,5.891,5.913,5.875,
0772-0341919,YM,201.6798650,-12.7076642,H,-128.5,0.8,-21.2,0.4,6.807,T,5.275,T,4.400,B,2.608,1.820,1.639,
0788-0254773,.M,201.2982469,-11.1613222,H,-42.5,0.7,-31.7,0.5,0.913,T,1.044,T,1.120,B,1.461,1.614,1.693,
0775-0346282,YM,206.4846633,-12.4265278,H,-19.1,1.3,8.0,0.8,6.478,T,5.564,T,4.980,B,3.939,3.388,3.379,*
0806-0267989,.M,211.6784308,-9.3135153,H,-140.6,0.9,4.0,0.7,5.784,T,5.461,T,5.250,B,4.839,4.791,4.599,
0798-0251753,YM,203.2419706,-10.1650000,H,-30.7,0.8,-37.9,0.5,6.174,T,5.222,T,4.630,B,3.767,3.133,3.104,
0812-0265811,.M,205.4032358,-8.7029844,H,-91.6,0.9,40.2,0.5,6.688,T,5.053,T,4.170,B,1.717,0.891,0.700,
0792-0249894,YM,196.9742183,-10.7404083,H,16.0,1.0,-9.3,0.6,6.283,T,5.157,T,4.470,B,3.396,2.847,2.720,
0796-0247165,.M,197.4386642,-10.3293267,H,-14.9,1.1,-7.3,0.8,7.480,T,5.958,T,5.080,B,3.439,2.633,2.407,
0804-0261751,YM,193.5881803,-9.5389944,H,-18.2,0.7,-19.7,0.5,6.393,T,4.806,T,3.930,B,1.274,0.397,0.165,
0810-0254678,YM,197.1352775,-8.9843853,H,-36.2,0.9,-64.1,0.9,6.759,T,5.571,T,4.850,B,3.729,3.032,2.894,
0844-0244835,.M,197.4874644,-5.5390097,H,-35.0,1.0,-32.7,0.9,4.388,T,4.395,T,4.410,B,4.530,4.556,4.391,
0837-0251083,YM,202.9911878,-6.2558164,H,-103.7,0.6,-43.3,0.4,6.353,T,4.724,T,3.840,B,1.455,0.619,0.426,
0846-0251853,YM,203.8804006,-5.3961914,H,15.5,0.7,82.5,0.5,6.644,T,5.713,T,5.130,B,4.221,3.680,3.649,
0848-0250140,YM,201.1384533,-5.1640103,H,157.7,2.1,-36.2,1.4,6.138,T,5.758,T,5.510,B,5.254,4.863,4.700,
0850-0249547,YM,200.8287239,-4.9244275,H,-19.5,0.9,-16.1,0.5,7.341,T,5.871,T,4.990,B,3.600,2.750,2.571,
0888-0229166,YM,201.5475581,-1.1924711,H,-114.5,0.7,5.2,0.5,6.148,T,5.971,T,5.860,B,5.668,5.576,5.530,
0839-0262961,.M,214.0036239,-6.0005467,H,-25.8,0.9,-419.8,0.6,4.544,T,4.076,T,,,3.140,2.908,2.801,
0877-0373631,YM,214.8853322,-2.2655183,H,-119.2,1.0,-71.8,0.6,6.164,T,5.148,T,4.520,B,3.525,2.959,2.834,
0891-0242272,YM,213.4199581,-0.8454628,H,207.4,0.7,-139.0,0.5,6.336,T,5.905,T,5.620,B,5.009,4.889,4.746,
0877-0376339,YM,217.0505750,-2.2279572,H,-140.9,1.0,-2.9,0.8,5.495,T,4.849,T,4.410,B,3.540,3.116,3.067,
0898-0248067,.M,224.3885467,-0.1676119,H,59.9,0.8,-26.1,0.7,6.645,T,5.518,T,4.830,B,3.928,3.282,3.121,
0907-0242340,.M,221.3758553,0.7172706,H,-39.8,1.6,-7.9,1.0,5.659,T,5.663,T,5.660,B,5.618,5.618,5.602,
0908-0236438,YM,217.4604944,0.8289289,H,15.6,1.1,7.2,1.1,6.119,T,5.971,T,5.880,B,5.653,5.668,5.551,
0918-0283350,.M,221.5621836,1.8928853,H,-116.0,1.2,-21.7,0.6,3.719,T,3.715,T,3.720,B,3.682,3.628,3.645,
0884-0247647,YM,208.6756114,-1.5031247,H,-85.0,0.8,-21.9,0.5,6.257,T,5.165,T,4.500,B,3.658,2.983,2.858,
0915-0230608,YM,210.4116386,1.5445317,H,17.4,0.8,-21.1,0.6,4.335,T,4.239,T,4.180,B,4.211,4.107,4.091,
0894-0230198,.M,203.6733000,-0.5958203,H,-278.8,0.8,48.5,0.7,3.487,T,3.367,T,,,3.257,3.153,3.222,
0910-0231931,YM,209.1161539,1.0505814,H,-28.0,0.6,13.6,0.5,6.109,T,5.904,T,5.770,B,5.447,5.370,5.275,
0924-0317287,YM,213.0658511,2.4094325,H,-44.6,0.9,-26.1,0.5,4.870,T,4.975,T,5.040,B,5.253,5.293,5.285,
0958-0236489,.M,216.0472692,5.8201306,H,-77.9,0.6,6.4,0.5,5.223,T,5.098,T,5.030,B,4.863,4.921,4.770,
0952-0230243,YM,209.0299528,5.2552389,B,0.0,0.0,0.0,0.0,14.180,Y,5.470,Y,10.370,B,11.314,10.448,9.698,
0820-0298576,.M,189.8115286,-7.9955644,H,-77.2,0.7,-24.6,0.5,5.899,T,4.650,T,3.880,B,2.673,2.172,2.011,
0841-0244558,YM,192.1496392,-5.8006739,C,8.8,8.2,-17.1,7.8,13.600,Y,5.380,Y,9.680,B,11.268,10.436,9.667,
0861-0252246,.M,194.9146550,-3.8119258,H,-48.2,0.7,6.5,0.8,5.952,T,5.796,T,5.710,B,5.415,5.368,5.269,
0841-0242462,.M,189.1973108,-5.8318986,H,-27.5,0.6,-19.4,0.5,5.935,T,5.867,T,5.830,B,5.782,5.767,5.703,
0884-0234933,YM,190.9085422,-1.5769961,H,48.1,0.6,-74.5,0.4,6.749,T,5.925,T,5.400,B,4.610,3.975,3.866,
0885-0223596,.M,190.4158867,-1.4493408,H,0.0,0.0,0.0,0.0,3.822,T,3.493,T,,,2.040,1.925,1.872,*
0888-0223632,YM,193.0919722,-1.1994736,C,6.4,7.1,7.3,6.6,14.140,Y,5.220,Y,10.150,B,11.186,10.442,9.736,
0893-0218169,YM,184.9764869,-0.6668033,H,-59.1,0.7,-23.1,0.8,3.902,T,3.870,T,3.860,B,3.980,3.837,3.789,
0892-0220002,.M,184.6679897,-0.7871842,H,33.5,0.6,-16.1,0.5,6.048,T,5.902,T,5.810,B,5.524,5.448,5.391,
0918-0244384,YM,182.4221244,1.8978892,H,42.1,0.9,-180.4,0.5,7.090,T,5.964,T,5.270,B,4.019,3.373,3.262,
0933-0240903,YM,185.0874203,3.3125739,H,-293.8,0.7,-62.8,0.4,6.140,T,4.968,T,4.260,B,2.822,2.213,2.064,
0919-0254313,YM,190.8339436,1.9782933,C,6.4,6.9,-22.0,6.6,14.450,Y,5.870,Y,10.850,e,11.375,10.750,10.232,
0918-0250943,YM,189.5933567,1.8546619,H,-79.5,0.6,-17.4,0.4,7.282,T,5.717,T,4.840,B,2.060,1.235,0.996,
0933-0246742,.M,193.9008656,3.3974700,H,-471.4,0.8,-52.8,0.5,4.948,T,3.414,T,2.530,B,-0.113,-1.010,-1.189,
0968-0244250,.M,190.4879897,6.8066169,H,-71.6,0.6,-11.1,0.4,5.561,T,5.570,T,5.580,B,5.562,5.586,5.543,
0976-0274107,.M,191.4044081,7.6733256,H,-108.9,0.6,4.5,0.4,5.506,T,5.215,T,5.030,B,4.798,4.612,4.466,
0920-0272965,YM,200.4235122,2.0872431,H,-61.2,0.7,-52.3,0.5,5.734,T,5.688,T,5.670,B,5.575,5.596,5.509,
0936-0232540,YM,203.5330456,3.6589664,H,43.8,0.6,-24.0,0.5,4.960,T,4.910,T,4.880,B,5.184,4.980,4.878,
0951-0222378,YM,200.5403719,5.1547642,H,-69.0,0.6,-35.5,0.4,5.991,T,5.876,T,5.820,B,5.692,5.671,5.621,
0954-0224496,YM,199.4011778,5.4698692,H,-7.1,0.6,10.0,0.5,6.482,T,4.797,T,3.920,B,1.625,0.766,0.472,
0954-0230414,YM,207.6028286,5.4972233,H,10.4,0.8,0.7,0.5,6.872,T,6.000,T,5.450,B,4.741,4.219,4.102,
0988-0242661,YM,210.3351217,8.8949061,H,32.9,0.6,-1.1,0.4,6.063,T,5.975,T,5.930,B,5.817,5.724,5.697,
1007-0221653,.M,204.8942372,10.7462686,H,-113.4,0.7,-13.3,0.5,5.892,T,5.588,T,5.400,B,4.977,4.863,4.711,
0994-0230336,.M,199.1938147,9.4241564,H,-334.5,0.8,190.6,0.5,5.739,T,5.190,T,4.820,B,4.392,4.107,4.033,
0995-0229134,.M,191.5939353,9.5396836,H,278.7,1.0,-455.0,0.6,6.632,T,5.663,T,5.060,B,4.174,3.536,3.442,
1000-0220246,.M,197.3018161,10.0224681,H,22.7,0.6,0.1,0.5,6.809,T,5.789,T,5.160,B,4.128,3.511,3.540,
1013-0218805,YM,198.6303483,11.3316561,H,68.5,0.6,-52.8,0.5,7.214,T,5.649,T,4.770,B,3.063,2.213,1.957,
1015-0217717,YM,198.1371722,11.5560958,H,-50.6,0.7,-30.5,0.5,7.315,T,5.764,T,4.880,B,2.791,1.951,1.701,
1009-0215791,.M,195.5441544,10.9591503,H,-275.0,0.8,19.9,0.5,3.737,T,2.819,T,2.240,B,1.247,0.732,0.664,
1008-0220309,YM,202.3041683,10.8183097,H,-60.3,0.6,-35.5,0.3,6.714,T,5.652,T,5.000,B,3.942,3.322,3.205,
1037-0215362,YM,202.1075389,13.7787872,H,-234.8,0.7,-576.1,0.5,5.651,T,4.973,T,4.520,B,3.798,3.456,3.500,
1036-0213547,YM,199.3151175,13.6757511,H,8.0,0.7,42.9,0.5,6.655,T,5.327,T,4.500,B,3.301,2.642,2.375,
0731-0282433,.M,159.6456372,-16.8765719,H,-98.5,1.2,26.7,1.3,5.805,T,4.910,T,4.340,B,3.419,2.911,2.799,
0731-0279217,.M,156.5226111,-16.8362906,H,-128.5,0.9,-80.0,0.6,5.342,T,3.824,T,2.940,B,1.215,0.506,0.334,
0766-0236436,.M,159.3886353,-13.3845431,H,41.7,0.8,-37.8,0.5,7.715,T,4.921,T,4.840,B,0.803,-0.254,-0.716,
0764-0233017,YM,157.7493236,-13.5884697,H,-33.5,0.6,-0.8,0.5,5.552,T,5.578,T,5.600,B,5.520,5.517,5.517,
0777-0287755,YM,159.1349286,-12.2301211,H,268.4,0.6,-672.3,0.4,6.197,T,5.713,T,5.380,B,4.897,4.483,4.342,
0762-0238182,.M,163.5740711,-13.7580358,H,-6.3,0.7,9.5,0.6,6.465,T,5.658,T,5.140,B,4.235,3.755,3.745,
0786-0223469,.M,165.8119983,-11.3034697,H,-81.7,0.8,-107.1,0.6,6.432,T,5.518,T,4.950,B,4.091,3.525,3.431,
0801-0221576,.M,162.4312025,-9.8526950,H,9.7,0.6,-27.1,0.5,6.914,T,5.848,T,5.200,B,4.326,3.652,3.568,
0811-0228340,.M,162.5752342,-8.8977628,H,-5.3,0.9,-14.7,0.6,5.948,T,5.795,T,5.710,B,5.464,5.426,5.339,
0771-0279636,YM,152.5245264,-12.8159233,H,-122.2,0.8,-109.1,0.5,5.622,T,5.304,T,5.090,B,4.754,4.458,4.397,
0769-0256424,.M,151.2811250,-13.0646261,H,-37.4,0.8,19.8,0.5,4.503,T,4.582,T,4.630,B,4.681,4.774,4.727,
0776-0276527,YM,152.6469892,-12.3540831,H,-200.3,2.6,-100.2,2.5,4.599,T,3.601,T,2.980,B,2.011,1.594,1.524,
0819-0255802,YM,154.4075089,-8.0689144,H,-160.2,0.8,2.7,0.5,5.540,T,5.248,T,5.060,B,4.774,4.698,4.443,
0818-0244049,YM,148.1268103,-8.1050306,H,-61.8,1.6,-47.2,0.6,5.151,T,5.107,T,5.090,B,4.996,5.001,4.934,
0815-0223079,YM,152.7327550,-8.4184619,H,-0.1,0.9,-45.4,0.8,6.965,T,5.627,T,4.800,B,3.652,2.907,2.786,
0815-0222658,.M,152.5314203,-8.4081706,H,-28.5,1.5,-2.9,1.6,5.914,T,5.900,T,5.900,B,5.722,5.745,5.695,
0829-0277542,YM,156.4344631,-7.0598292,H,-135.1,0.8,129.0,0.5,7.162,T,5.611,T,4.730,B,2.734,1.975,1.826,
0859-0210818,.M,155.8603269,-4.0740350,H,-50.5,0.7,4.2,0.4,5.871,T,5.919,T,5.950,B,5.980,6.100,6.073,
0872-0291008,YM,157.3695925,-2.7390781,H,-48.7,0.7,-12.7,0.5,5.131,T,5.176,T,5.210,B,5.222,5.256,5.238,
0893-0199377,YM,157.5728317,-0.6370261,H,-40.1,1.0,-22.1,1.0,4.925,T,5.052,T,5.120,B,5.350,5.410,5.386,
0863-0233843,YM,169.1654203,-3.6516011,H,-108.1,1.1,-35.7,0.6,4.648,T,4.456,T,4.350,B,4.317,4.185,4.126,
0869-0277581,YM,172.5787222,-3.0035006,H,19.7,1.0,-17.1,0.6,6.328,T,4.763,T,3.880,B,2.160,1.389,1.247,
0891-0214623,.M,174.2372108,-0.8237489,H,1.3,1.1,43.4,0.6,5.284,T,4.310,T,3.710,B,2.781,2.266,2.184,
0917-0225501,.M,177.6738272,1.7647178,H,740.9,0.8,-271.1,0.6,4.110,T,3.594,T,3.240,B,2.596,2.362,2.269,
0914-0203580,YM,171.0096961,1.4077653,H,-16.4,0.8,0.6,0.5,6.308,T,5.393,T,4.810,B,4.102,3.540,3.504,
0930-0257841,YM,173.5914578,3.0601653,H,-181.6,0.9,-102.6,0.6,6.186,T,5.764,T,5.470,B,4.921,4.775,4.650,
0869-0267288,YM,162.7725353,-3.0926672,H,-54.0,0.9,-10.9,0.5,7.469,T,5.956,T,5.080,B,3.528,2.802,2.597,
0875-0297848,YM,165.4569769,-2.4845850,H,9.5,0.8,-36.1,0.6,6.378,T,4.738,T,3.860,B,1.780,1.008,0.808,
0878-0313398,YM,163.4321344,-2.1292053,H,-83.3,0.8,15.0,0.7,6.401,T,5.455,T,4.870,B,4.001,3.439,3.383,
0880-0277522,YM,162.1689828,-1.9588958,H,-18.5,0.9,7.9,0.5,7.560,T,5.933,T,5.050,B,2.737,1.981,1.749,
0899-0203694,YM,168.4398000,-0.0695019,H,-48.1,0.9,2.7,0.6,5.376,T,5.401,T,5.410,B,5.373,5.391,5.333,
0899-0202002,YM,165.9024675,-0.0008331,H,-60.2,0.7,-0.4,0.6,7.169,T,5.934,T,5.170,B,4.081,3.439,3.309,
0916-0209922,YM,169.7289967,1.6503947,H,-38.1,0.8,-55.9,0.6,6.930,T,5.911,T,5.280,B,4.386,3.724,3.680,
0920-0243652,YM,169.3225014,2.0105558,H,55.1,0.7,-142.8,0.6,6.715,T,5.181,T,4.300,B,2.265,1.536,1.330,
0919-0231627,YM,166.7258636,1.9555253,H,-383.0,0.9,-85.6,0.7,6.499,T,5.546,T,4.960,B,4.028,3.349,3.329,
0928-0269449,YM,171.9843333,2.8562653,H,17.3,0.8,-10.4,0.6,5.927,T,4.949,T,4.340,B,3.494,2.947,2.833,
0960-0206946,.M,170.2841431,6.0293217,H,-91.7,0.7,-12.8,0.6,3.986,T,4.036,T,4.070,B,4.365,4.325,4.139,
0936-0206574,YM,165.1402025,3.6174939,H,15.6,0.8,-16.2,0.7,6.012,T,4.844,T,4.130,B,3.142,2.479,2.376,
0961-0201280,.M,165.1866767,6.1014492,H,-51.0,0.8,-22.2,0.5,5.132,T,4.982,T,4.890,B,4.862,4.695,4.613,
