HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
1151,21    Tau,23432,,1283,03 45 54.4,+24 33 17,5.76,-0.04,B8V,*
1152,22    Tau,23441,,,03 46 02.9,+24 31 41,6.43,-0.02,A0Vn,*
1153,29    Tau,23466,2750,,03 45 40.4,+06 03 00,5.35,-0.12,B3V,*
1154,,23474,,,03 36 30.0,-78 19 23,6.29,1.15,K2III,
1155,,23475,,BE Cam,03 49 31.2,+65 31 34,4.47,1.88,M2+IIab,*
1156,23    Tau,23480,,V971 Tau,03 46 19.6,+23 56 54,4.18,-0.06,B6IVe,*
1157,,23508,,,03 44 06.2,-40 39 37,6.45,1.06,K1III,*
1158,,23523,,,03 49 36.7,+63 17 50,5.85,0.18,A5Vn,
1159,,23526,,,03 46 09.5,+06 48 11,5.91,0.99,G9III,
1160,,23552,2769,,03 48 18.3,+50 44 12,6.14,0.06,B8Vne,*
1161,,23594,,,03 49 19.6,+57 07 05,6.46,0.06,A0Vn,
1162,26Pi  Eri,23614,,Pi  Eri,03 46 08.5,-12 06 06,4.42,1.63,M2III,*
1163,,23625,2772,1305,03 47 52.6,+33 36 00,6.57,0.08,B2.5V,*
1164,,23626,,,03 47 48.9,+32 11 42,6.25,0.47,G0,
1165,25Eta Tau,23630,,,03 47 29.1,+24 06 18,2.87,-0.09,B7IIIe,*
1166,,23662,,,03 51 41.8,+68 30 27,6.32,-0.08,B9IVp,
1167,,23670,,,03 44 50.6,-48 03 41,6.49,1.02,G8-K0III,
1168,,23697,,,03 44 33.8,-54 16 26,6.30,1.04,K1III,
1169,,23719,,,03 45 15.8,-47 21 35,5.73,0.96,K1III,
1170,,23728,,V376 Per,03 49 08.2,+43 57 47,6.02,0.29,A9IV,*
1171,Sig For,23738,,,03 46 27.4,-29 20 17,5.90,0.12,A3V,*
1172,,23753,,1321,03 48 20.9,+23 25 16,5.45,-0.07,B8V,*
1173,27Tau6Eri,23754,,,03 46 50.9,-23 14 59,4.23,0.42,F3III,
1174,30    Tau,23793,2778,1327,03 48 16.3,+11 08 36,5.07,-0.13,B3V+F5V,*
1175,Bet Ret,23817,,,03 44 12.0,-64 48 25,3.85,1.13,K2+III,*
1176,,23838,,Var?,03 50 04.5,+44 58 04,5.66,0.76,G2III+F2:V,*
1177,42    Per,23848,,V467 Per,03 49 32.6,+33 05 29,5.11,0.07,A3V,*
1178,27    Tau,23850,2786,1345,03 49 09.7,+24 03 12,3.63,-0.09,B8III,*
1179,,23856,,,03 47 20.1,-29 54 07,6.55,0.49,F8V,
1180,28    Tau,23862,,BU Tau,03 49 11.2,+24 08 12,5.09,-0.08,B8Vpe,*
1181,28Tau7Eri,23878,,Var,03 47 39.6,-23 52 29,5.24,0.07,A2,*
1182,,23887,,,03 48 38.9,+00 13 40,5.91,1.23,K3III,
1183,,23923,,,03 49 43.5,+23 42 42,6.17,-0.05,B8V,*
1184,Rho For,23940,,1337,03 47 56.0,-30 10 04,5.54,0.98,G6III,
1185,,23950,,,03 49 55.0,+22 14 40,6.07,-0.01,B8III,*
1186,,23958,,,03 47 49.6,-36 06 21,6.21,-0.10,B8V,
1187,,23978,,,03 48 35.8,-20 54 11,5.81,1.64,K5III,
1188,,23985,2799,1366,03 50 18.9,+25 34 46,5.26,0.21,A2V+A5V,*
1189,,24071,,,03 48 35.4,-37 37 20,5.40,0.01,A1V,*
1190,,24072,,1359,03 48 35.9,-37 37 14,4.73,-0.03,B9V,*
1191,,24131,,,03 51 53.7,+34 21 33,5.77,0.00,B1V,*
1192,,24141,,,03 53 43.3,+57 58 30,5.80,0.18,A5m,
1193,,24154,,,03 51 36.6,+22 01 54,6.83,,K0III,*
1194,,24155,,V766 Tau,03 51 15.8,+13 02 45,6.30,-0.07,B9pSi,*
1195,,24160,,,03 49 27.3,-36 12 01,4.17,0.95,G9II-III,*
1196,,24164,,,03 56 30.2,+71 49 18,6.34,0.30,A5m,
1197,,24167,,,03 52 04.3,+31 10 06,6.25,0.20,A5V,*
1198,,24240,,,03 53 38.7,+48 39 02,5.76,1.05,K0III,
1199,31    Tau,24263,,,03 52 00.2,+06 32 05,5.67,0.06,B5V,
1200,,24305,,,03 50 37.6,-36 25 31,6.86,-0.04,B9.5V,
1201,,24357,,,03 53 10.0,+17 19 37,5.97,0.34,F4V,*
1202,30    Eri,24388,2832,,03 52 41.6,-05 21 41,5.48,-0.10,B8V,*
1203,44Zet Per,24398,2843,1397,03 54 07.9,+31 53 01,2.85,0.12,B1Ib,*
1204,,24479,,,03 57 25.5,+63 04 20,5.03,-0.09,B9.5V,
1205,,24480,2867,,03 57 08.3,+61 06 32,5.00,1.45,K3I-II+A3V:,*
1206,,24497,,,03 53 13.0,-18 26 04,6.22,0.88,gK+F,*
1207,,24504,,,03 55 58.2,+47 52 17,5.37,-0.08,B6V,*
1208,Gam Hyi,24512,,,03 47 14.3,-74 14 20,3.24,1.62,M2III,*
1209,,24534,2859,X Per,03 55 23.0,+31 02 45,6.10,0.29,O9.5ep,*
1210,43    Per,24546,,,03 56 36.5,+50 41 43,5.28,0.41,F5IV,*
1211,32    Eri,24554,2850,,03 54 17.4,-02 57 10,6.14,0.09,A2V,*
1212,32    Eri,24555,2850,,03 54 17.5,-02 57 17,4.79,0.94,G8III,*
1213,33Tau8Eri,24587,,Tau8 Eri,03 53 42.6,-24 36 45,4.65,-0.13,B6V,
1214,,24626,,,03 53 38.9,-34 43 56,5.11,-0.13,B6V,
1215,,24640,,1418,03 56 28.7,+35 04 52,5.49,-0.03,B1.5V,*
1216,,24706,,,03 53 33.3,-46 53 37,5.93,1.24,K2III,*
1217,,24712,,DO Eri,03 55 16.3,-12 05 57,6.00,0.32,A5pSrCrEu,*
1218,32    Tau,24740,,,03 56 52.1,+22 28 41,5.63,0.30,F2IV,
1219,,24744,,1414,03 54 23.2,-40 21 26,5.71,0.60,K0III+A3V,*
1220,45Eps Per,24760,2888,Eps Per,03 57 51.2,+40 00 37,2.89,-0.18,B0.5V+A2V,*
1221,33    Tau,24769,,V817 Tau,03 57 03.8,+23 10 32,6.06,0.02,B9.5IV,*
1222,,24802,,,03 57 26.4,+24 27 43,6.16,1.37,K0,
1223,,24809,,V386 Per,03 58 03.1,+34 48 52,6.53,0.23,A8V,*
1224,,24817,,,03 57 01.7,+06 02 24,6.09,0.06,A2Vn,
1225,,24832,,DL Eri,03 56 37.9,-09 45 03,6.19,0.28,F1V,*
1226,,24843,,,03 58 29.1,+38 50 25,6.30,1.08,gK1,
1227,,24863,,1419,03 54 34.0,-52 41 26,6.46,0.16,A4V,*
1228,46Xi  Per,24912,,Xi  Per,03 58 57.9,+35 47 28,4.04,0.01,O7.5III(n)((f)),*
1229,,24982,2910,,03 59 40.0,+38 49 14,6.38,0.10,A1Vp:,
1230,,25007,2963,,04 10 02.8,+80 41 55,5.10,0.56,G8III+A6V,*
1231,34Gam Eri,25025,2904,Gam Eri,03 58 01.8,-13 30 31,2.95,1.59,M0.5IIICa-1Cr-1,*
1232,,25069,,,03 58 52.3,-05 28 12,5.83,1.00,G9V,
1233,,25102,,,03 59 40.7,+10 19 51,6.37,0.42,F5V,*
1234,,25152,,,04 01 14.7,+36 59 24,6.41,-0.01,A0V,*
1235,,25165,,,03 59 30.1,-12 34 27,5.60,1.48,K5III,
1236,,25170,,,03 56 04.0,-63 27 49,6.14,1.10,K1-2III,
1237,,25175,,,04 00 36.9,+17 17 48,6.32,0.06,A0V,
1238,,25202,,,04 00 48.8,+18 11 38,5.89,0.32,F4V,*
1239,35Lam Tau,25204,,Lam Tau,04 00 40.8,+12 29 25,3.47,-0.12,B3V+A4IV,*
1240,36Tau9Eri,25267,,Tau9 Eri,03 59 55.5,-24 00 59,4.66,-0.13,B6V+B9.5V,*
1241,,25274,,,04 06 03.1,+68 40 48,5.87,1.54,K2III,
1242,,25291,,,04 04 27.2,+59 09 20,5.06,0.50,F0II,
1243,,25330,2938,,04 01 46.1,+09 59 52,5.67,0.02,B5V,*
1244,35    Eri,25340,,,04 01 32.0,-01 32 59,5.28,-0.15,B5V,*
1245,,25346,,,03 58 42.9,-57 06 09,6.05,0.44,F2IV,
1246,,25371,,,04 00 40.7,-30 29 27,5.93,0.04,A2V,
1247,Del Ret,25422,,,03 58 44.7,-61 24 01,4.56,1.62,M2IIIab,
1248,,25425,,,04 06 39.0,+65 31 15,6.17,0.14,A3m,
1249,,25457,,,04 02 36.7,-00 16 08,5.38,0.50,F5V,
1250,,25470,,XY Dor,04 00 15.7,-51 33 53,6.51,1.64,M1III,*
1251,38Nu  Tau,25490,,,04 03 09.4,+05 59 21,3.91,0.03,A1V,
1252,36    Tau,25555,2965,,04 04 21.7,+24 06 21,5.47,0.86,G0III+A4V,*
1253,40    Tau,25558,,,04 03 44.6,+05 26 08,5.33,-0.08,B3V,*
1254,,25570,,,04 03 56.6,+08 11 50,5.46,0.37,F2V,*
1255,,25602,,,04 06 36.6,+54 00 31,6.31,0.99,K0III-IV,
1256,37    Tau,25604,,,04 04 41.7,+22 04 55,4.36,1.07,K0+III-IIIaFe-0.2,*
1257,,25621,,,04 04 09.9,+02 49 37,5.36,0.50,F6IV,*
1258,,25631,,Var?,04 03 24.7,-20 08 39,6.46,-0.18,B2.5V,*
1259,,25661,,,04 03 36.8,-20 09 30,7.01,1.22,K2II,
1260,,25638,2984,SZ Cam,04 07 51.1,+62 19 48,6.99,0.42,B0III,*
1261,47Lam Per,25642,,,04 06 35.0,+50 21 05,4.29,0.02,A0IVn,
1262,39    Tau,25680,,1452,04 05 20.2,+22 00 32,5.90,0.62,G5V,*
1263,,25700,,,04 04 08.7,-16 35 20,6.39,1.26,K2,
1264,Gam Ret,25705,,Gam Ret,04 00 53.8,-62 09 34,4.51,1.65,M4III,*
1265,,25723,,,04 04 22.7,-12 47 33,5.61,1.08,gK0,
1266,Iot Ret,25728,,,04 01 18.2,-61 04 44,4.97,1.42,K4III,*
1267,,25803,,,04 04 41.0,-20 22 54,6.13,1.16,K0,
1268,41    Tau,25823,,GS Tau,04 06 36.4,+27 36 00,5.20,-0.13,B9pSi,*
1269,42Psi Tau,25867,,,04 07 00.5,+29 00 05,5.23,0.34,F1V,
1270,,25877,,,04 09 27.6,+59 54 29,6.28,1.14,G8IIa,
1271,,25887,,,03 42 32.1,-85 15 44,6.41,-0.01,B9.5IV,
1272,,25910,,,04 05 56.5,-08 51 22,6.26,0.06,A3V,
1273,48    Per,25940,,MX Per,04 08 39.7,+47 42 45,4.04,-0.03,B3Ve,*
1274,,25944,,,04 05 46.7,-20 30 44,6.34,0.92,G5,
1275,,25945,,,04 05 37.4,-27 39 06,5.59,0.31,F1IV,
1276,,25948,,,04 09 22.4,+54 49 44,6.18,,F5V,
1277,49    Per,25975,,,04 08 15.3,+37 43 40,6.09,0.95,K1III,
1278,50    Per,25998,,,04 08 36.6,+38 02 23,5.51,0.46,F7V,*
1279,,26015,2999,1466,04 07 42.0,+15 09 46,6.01,0.40,F3V,*
1280,,26038,3006,,04 07 59.4,+17 20 23,5.89,1.50,K5IIIb,*
1281,,26076,,,04 13 44.9,+72 07 35,6.03,1.01,K1III,
1282,,26101,,,04 12 51.6,+68 30 06,6.32,1.18,K0,
1283,43Ome1Tau,26162,,,04 09 10.0,+19 36 33,5.50,1.07,K2III,
1284,,26171,,,04 09 01.6,+13 23 54,5.95,0.05,B9.5V,
1285,,26262,,,04 07 25.1,-42 55 01,6.59,0.93,K0III,
1286,,26311,,,04 10 59.0,+33 35 12,5.72,1.44,K1II-III,
1287,44    Tau,26322,,IM Tau,04 10 49.9,+26 28 51,5.41,0.34,F2IV-V,*
1288,,26326,,,04 09 17.8,-16 23 09,5.37,-0.15,B4V,
1289,,26356,,,04 28 13.0,+83 48 28,5.57,-0.13,B5V,*
1290,37    Eri,26409,,,04 10 22.5,-06 55 26,5.44,0.94,G8III,
1291,,26413,,,04 08 33.9,-45 51 53,6.59,0.38,F2V,
1292,45    Tau,26462,,,04 11 20.3,+05 31 23,5.72,0.36,F4V,*
1293,,26464,,,04 10 47.7,-08 49 11,5.70,1.06,gG9,
1294,,26491,,,04 07 21.6,-64 13 21,6.38,0.64,G3V,
1295,,26546,,,04 12 31.4,+17 16 39,6.09,1.08,K0III,
1296,,26553,,Var?,04 15 01.8,+57 27 37,6.08,0.61,A4III,*
1297,,26571,,,04 12 51.2,+22 24 49,6.12,0.19,B9IIIp:Si:,*
1298,38Omi1Eri,26574,,Omi1 Eri,04 11 51.9,-06 50 15,4.04,0.33,F2II-III,*
1299,,26575,,,04 10 45.8,-35 16 26,6.44,1.07,K1+IIIaCH-1.5,*
1300,,26591,,,04 11 36.2,-20 21 22,5.79,0.18,A2m,*
1301,,26605,,,04 13 59.6,+37 58 01,6.45,,G9III,
1302,Del Hor,26612,,,04 10 50.6,-41 59 37,4.93,0.33,A9V,*
1303,51Mu  Per,26630,3071,1518,04 14 53.9,+48 24 34,4.14,0.95,G0Ib,*
1304,,26659,,,04 30 00.1,+83 20 26,5.46,0.87,G8III,
1305,,26670,,,04 16 53.6,+61 51 01,5.70,-0.14,B5Vn,
1306,52    Per,26673,,,04 14 53.3,+40 29 01,4.71,1.01,G5Ib+A2V,*
1307,,26676,,,04 13 34.8,+10 12 44,6.23,0.05,B8Vn,*
1308,,26677,3063,,04 13 31.3,+08 53 26,6.51,0.16,A2m,*
1309,46    Tau,26690,3064,,04 13 33.1,+07 42 58,5.29,0.36,F2V+F5V,*
1310,,26703,,,04 13 49.9,+12 45 12,6.25,1.16,K0,*
1311,47    Tau,26722,3072,,04 13 56.4,+09 15 49,4.84,0.80,G5III+A7V?,*
1312,,26739,,,04 13 38.2,-01 08 59,6.44,-0.13,B5IV,
1313,,26755,,,04 17 08.2,+57 51 38,5.71,1.09,K1III,
1314,,26764,,,04 16 43.1,+53 36 43,5.19,0.05,A2Vn,
1315,,26793,,,04 14 36.3,+10 00 40,5.22,-0.10,B9Vn,
1316,,26820,,,04 12 31.6,-44 22 06,6.71,1.48,K3-4III,
1317,,26836,,,04 27 02.8,+80 49 27,5.43,1.17,gG6,
1318,39    Eri,26846,3079,,04 14 23.7,-10 15 23,4.87,1.17,K3III,*
1319,48    Tau,26911,,1537,04 15 46.3,+15 24 02,6.32,0.40,F5V,*
1320,49Mu  Tau,26912,,,04 15 32.1,+08 53 32,4.29,-0.06,B3IV,*
1321,,26913,3085,V891 Tau,04 15 25.8,+06 11 59,6.93,0.70,G5IV,*
1322,,26923,3085,V774 Tau,04 15 29.2,+06 11 12,6.31,0.59,G0IV,*
1323,,26927,,,04 13 35.7,-40 21 28,6.37,1.46,K3III,
1324,,26961,,b Per,04 18 14.6,+50 17 44,4.61,0.04,A2V,*
1325,40Omi2Eri,26965,3093,DY Eri,04 15 16.3,-07 39 10,4.43,0.82,K1-V,*
1326,Alp Hor,26967,,,04 14 00.1,-42 17 40,3.86,1.10,K1III,*
1327,,27022,,,04 20 40.3,+65 08 26,5.27,0.81,G5IIb,*
1328,,27026,,,04 18 08.2,+42 08 28,6.22,-0.08,B9V,
1329,50Ome2Tau,27045,,Var?,04 17 15.6,+20 34 43,4.94,0.26,A3m,*
1330,,27084,,,04 19 13.3,+50 02 56,5.45,0.22,A7V,*
1331,51    Tau,27176,,,04 18 23.2,+21 34 45,5.65,0.28,F0V,*
1332,,27179,,,04 17 19.2,-06 28 19,5.94,1.08,gG8,
1333,,27192,,1550,04 20 11.5,+50 55 15,5.55,-0.01,B1.5IV,*
1334,,27236,,,04 18 24.5,+09 29 12,6.54,0.16,A4III,
1335,,27245,,1558,04 21 47.6,+60 44 08,5.39,1.49,M0III,
1336,Alp Ret,27256,,,04 14 25.5,-62 28 26,3.35,0.91,G8II-III,
1337,,27278,,,04 20 14.4,+41 48 29,5.92,0.94,K0III,
1338,Gam Dor,27290,,Gam Dor,04 16 01.6,-51 29 12,4.25,0.30,F4III,*
1339,53    Tau,27295,,,04 19 26.1,+21 08 32,5.35,-0.08,B9IV,*
1340,,27304,,,04 14 48.7,-62 11 31,5.45,1.10,K0III,*
1341,56    Tau,27309,,V724 Tau,04 19 36.7,+21 46 25,5.38,-0.14,A0pSi,*
1342,,27322,,,04 21 51.8,+56 30 24,5.88,,A3V,
1343,54    Per,27348,,,04 20 24.6,+34 34 00,4.93,0.94,G8III,
1344,,27349,,,04 20 10.0,+31 57 12,6.16,1.71,K5,
1345,,27362,,1548,04 18 15.9,-20 42 56,6.00,1.67,G8III,*
1346,54Gam Tau,27371,,1553,04 19 47.6,+15 37 39,3.65,0.99,K0-IIIabCN1,*
1347,41Ups4Eri,27376,,Var,04 17 53.7,-33 47 54,3.56,-0.12,B9V,*
1348,52Phi Tau,27382,3137,,04 20 21.3,+27 21 03,4.95,1.15,K1III,*
1349,,27386,,,04 19 37.5,+10 07 17,6.31,1.43,K0,*
1350,53    Per,27396,,V469 Per,04 21 33.2,+46 29 56,4.85,-0.03,B4IV,*
1351,57    Tau,27397,,V483 Tau,04 19 57.7,+14 02 07,5.59,0.28,F0IV,*
1352,,27402,3146,1566,04 22 57.9,+59 36 59,6.19,,A4V,*
1353,,27411,,,04 18 37.4,-22 58 13,6.07,0.30,Am,*
1354,,27429,,,04 20 25.1,+18 44 33,6.12,0.37,F3:V,*
1355,Eps Ret,27442,,,04 16 28.9,-59 18 07,4.44,1.08,K2IVa,
1356,58    Tau,27459,,V696 Tau,04 20 36.3,+15 05 43,5.26,0.22,F0V,*
1357,,27463,,TT Ret,04 16 21.1,-60 56 55,6.37,0.07,ApEuCrSr:,*
1358,,27483,,,04 20 52.8,+13 51 51,6.17,0.46,F6V,*
1359,,27490,,,04 19 03.0,-33 54 18,6.37,0.13,A3V,*
1360,,27497,,,04 20 41.2,+06 07 51,5.77,0.92,G8III-IV,
1361,,27505,,,04 20 49.0,+09 13 32,6.53,0.15,A4V,
1362,,27536,,EK Eri,04 20 38.7,-06 14 44,6.27,0.91,G8IV:,*
1363,,27563,,EM Eri,04 20 42.8,-07 35 33,5.85,-0.13,B5III,*
1364,,27588,,,04 19 16.6,-44 16 05,5.34,1.08,K2III,*
1365,,27604,,,04 18 40.0,-52 51 36,6.09,0.49,F7IV-V,
1366,,27611,3152,,04 21 27.1,-00 05 53,5.86,1.32,K3III,*
1367,,27616,,,04 20 39.0,-20 38 23,5.38,-0.02,A2V,
1368,60    Tau,27628,,V775 Tau,04 22 03.5,+14 04 38,5.72,0.32,A3m,*
1369,59Chi Tau,27638,3161,,04 22 34.9,+25 37 45,5.37,-0.05,B9V,*
1370,,27639,3158,,04 22 22.8,+20 49 17,5.91,1.66,"M0IIIab+A,F",*
1371,,27650,3172,,04 23 35.9,+42 25 41,6.23,0.00,A1pSi,
1372,The Ret,27657,,1556,04 17 40.2,-63 15 20,5.87,-0.07,B9III-IV,
1373,61Del1Tau,27697,,1582,04 22 56.1,+17 32 33,3.76,0.98,K0-IIICN0.5,*
1374,,27710,3159,1574,04 21 31.3,-25 43 42,6.01,0.35,F0IV-V,*
1375,,27742,,,04 23 32.4,+20 58 56,5.99,0.03,B8IV-V,
1376,63    Tau,27749,,Var?,04 23 25.0,+16 46 38,5.64,0.30,A1m,*
1377,55    Per,27777,,,04 24 29.2,+34 07 50,5.73,-0.06,B8V,
1378,62    Tau,27778,3179,,04 23 59.8,+24 18 04,6.36,0.17,B3V,*
1379,56    Per,27786,3188,1592,04 24 37.4,+33 57 35,5.76,0.40,F4V,*
1380,64Del2Tau,27819,,,04 24 05.8,+17 26 38,4.80,0.15,A7V,*
1381,66    Tau,27820,3182,,04 23 51.9,+09 27 39,5.12,0.07,A3V,*
1382,,27855,3203,,04 27 00.9,+57 35 07,6.32,0.04,A0III,*
1383,42Xi  Eri,27861,,1590,04 23 40.8,-03 44 44,5.17,0.08,A2V,*
1384,,27881,,1588,04 23 05.7,-24 53 32,5.83,1.51,K5,*
1385,,27901,,,04 24 57.1,+19 02 30,5.98,0.37,F4V,*
1386,,27941,,,04 23 07.7,-35 32 42,6.39,1.24,K1III,
1387,65Kap1Tau,27934,3201,1593,04 25 22.1,+22 17 38,4.22,0.13,A7IV-V,*
1388,67Kap2Tau,27946,3201,1594,04 25 25.0,+22 11 59,5.28,0.25,A7V,*
1389,68Del3Tau,27962,3206,V776 Tau,04 25 29.4,+17 55 41,4.29,0.05,A2IV,*
1390,,27971,,,04 26 06.3,+31 26 20,5.28,0.97,K1III,
1391,70    Tau,27991,,,04 25 37.3,+15 56 27,6.46,0.49,F7V,*
1392,69Ups Tau,28024,,Ups Tau,04 26 18.5,+22 48 49,4.28,0.26,A8Vn,*
1393,43    Eri,28028,,,04 24 02.2,-34 01 01,3.96,1.49,K4III,*
1394,71    Tau,28052,,V777 Tau,04 26 20.8,+15 37 06,4.49,0.25,F0V,*
1395,Eta Ret,28093,,,04 21 53.3,-63 23 11,5.24,0.96,G8III,*
1396,73Pi  Tau,28100,,,04 26 36.4,+14 42 49,4.69,0.98,G7IIIaFe-1,
1397,,28114,,,04 26 21.1,+08 35 25,6.06,0.02,B6IV,
1398,,28143,,,04 24 56.4,-34 45 28,6.55,0.44,F2III,*
1399,72    Tau,28149,,,04 27 17.5,+22 59 47,5.53,-0.10,B7V,*
1400,,28191,,,04 27 00.7,+02 04 46,6.23,1.09,K1III,
1401,,28204,3267,,04 33 30.7,+72 31 43,5.94,0.30,A8m,*
1402,,28217,3228,,04 27 28.8,+11 12 45,5.88,0.05,B8IV,*
1403,,28226,,,04 28 00.8,+21 37 12,5.72,0.27,Am,*
1404,,28246,,,04 25 19.1,-44 09 39,6.39,0.44,F6V,
1405,,28255,,,04 24 12.2,-57 04 17,6.29,0.66,G4V,*
1406,,28271,3243,,04 28 51.9,+30 21 41,6.40,0.52,F7V,*
1407,75    Tau,28292,,1609,04 28 26.4,+16 21 35,4.97,1.13,K2III,*
1408,76    Tau,28294,,,04 28 23.4,+14 44 27,5.90,0.32,F0IV,*
1459,,29169,,1663,04 36 29.2,+23 20 27,6.02,0.38,F5IV,*
1409,74Eps Tau,28305,,,04 28 37.0,+19 10 49,3.53,1.01,G9.5IIICN0.5,*
1410,,28312,3230,,04 26 57.0,-24 04 53,6.11,0.14,A2,*
1411,77The1Tau,28307,,,04 28 34.5,+15 57 44,3.84,0.95,K0IIIbFe-0.5,*
1412,78The2Tau,28319,,The2 Tau,04 28 39.7,+15 52 15,3.40,0.18,A7III,*
1413,,28322,,,04 28 03.6,+01 51 31,6.15,1.02,G9III,
1414,79    Tau,28355,,,04 28 50.2,+13 02 51,5.03,0.23,A7V,*
1415,,28375,,,04 28 32.1,+01 22 51,5.55,-0.10,B3V,*
1416,,28413,,,04 25 05.3,-61 14 18,5.94,1.54,K4-5III,
1417,1    Cam,28446,3274,Var?,04 32 01.8,+53 54 39,5.77,0.18,B0III,*
1418,,28454,,,04 27 06.0,-46 56 51,6.10,0.46,F5-6V,*
1419,,28459,,,04 30 38.3,+32 27 29,6.21,-0.04,B9.5Vn,*
1420,,28475,,,04 29 42.9,+10 31 18,6.79,0.09,B5V,
1421,,28479,,,04 28 39.0,-19 27 30,5.96,1.22,K1III,
1422,80    Tau,28485,3264,,04 30 08.6,+15 38 17,5.58,0.32,F0V,*
1423,,28497,,DU Eri,04 29 06.9,-13 02 54,5.60,-0.23,B1Vne,*
1424,,28503,3273,,04 31 24.0,+40 00 37,6.26,0.04,B8V,*
1425,,28505,,,04 30 02.4,+10 15 45,6.48,1.03,G8III,
1426,Del Men,28525,,1591,04 17 59.1,-80 12 50,5.69,0.84,K2-3III+A,
1427,,28527,,1627,04 30 33.7,+16 11 38,4.78,0.17,A6IV,*
1428,81    Tau,28546,,,04 30 38.9,+15 41 31,5.48,0.26,A5m,*
1429,,28552,,1615,04 28 09.4,-41 57 36,6.44,1.64,M1III,
1430,83    Tau,28556,,,04 30 37.3,+13 43 28,5.40,0.26,F0V,*
1431,,28625,,,04 30 09.7,-13 35 32,6.24,1.00,G5,
1432,85    Tau,28677,,1640,04 31 51.8,+15 51 06,6.02,0.34,F4V,*
1433,,28700,,,04 29 20.0,-46 30 55,6.16,1.06,K1III,
1434,57    Per,28704,,,04 33 24.9,+43 03 50,6.09,0.38,F0V,
1435,,28732,,,04 27 45.9,-62 31 15,5.75,1.01,K0III,
1436,,28736,,,04 32 04.8,+05 24 36,6.39,0.42,F5V,*
1437,45    Eri,28749,,,04 31 52.7,-00 02 38,4.91,1.32,K3II-III,
1438,,28763,3284,,04 31 25.9,-13 38 42,6.21,0.12,A3V,
1439,,28776,,,04 30 40.3,-35 39 13,5.96,1.00,K0II,
1440,,28780,,,04 36 24.2,+64 15 42,5.94,-0.03,A1V,
1441,,28843,,DZ Eri,04 32 37.4,-03 12 33,5.81,-0.14,B9III,*
1442,,28867,3297,,04 33 32.9,+18 01 00,6.25,0.07,B9IVn,*
1443,Del Cae,28873,,Var?,04 30 50.1,-44 57 14,5.07,-0.19,B2IV-V,
1444,86Rho Tau,28910,,Rho Tau,04 33 50.9,+14 50 40,4.65,0.25,A8V,*
1445,,28929,3304,,04 34 38.0,+28 57 40,5.88,-0.06,B9pHg,*
1446,,28930,,,04 33 48.1,+09 24 47,6.01,1.06,G8III,
1447,,28970,,,04 33 22.0,-10 47 09,6.06,1.38,K0,
1448,,28978,,,04 34 08.3,+05 34 07,5.68,0.05,A2V s,*
1449,46    Eri,29009,3305,EH Eri,04 33 54.8,-06 44 20,5.72,-0.13,B9pSi,*
1450,,29063,,,04 34 14.2,-06 50 16,6.09,1.38,K2III,
1451,47    Eri,29064,,DV Eri,04 34 11.6,-08 13 53,5.11,1.70,M3III,*
1452,,29065,,,04 34 11.7,-08 58 13,5.26,1.47,K4III,
1453,50Ups1Eri,29085,,1650,04 33 30.6,-29 46 00,4.51,0.98,K0IIICN-1,
1454,58    Per,29094,,,04 36 41.4,+41 15 53,4.25,1.22,K4III+A3V,*
1455,,29104,3316,,04 35 42.7,+19 52 54,6.36,,G5II-III+A-F,*
1456,Nu  Men,29116,,,04 20 57.9,-81 34 48,5.79,0.35,F0-2III,*
1457,87Alp Tau,29139,3321,Alp Tau,04 35 55.2,+16 30 33,0.85,1.54,K5+III,*
1458,88    Tau,29140,3317,1658,04 35 39.3,+10 09 39,4.25,0.18,A5m,*
1460,,29173,3318,,04 35 14.0,-09 44 12,6.37,0.11,A1m,*
1461,,29184,,,04 35 00.5,-19 55 14,6.13,1.17,K3III,
1462,,29227,3328,,04 36 01.6,-03 36 43,6.33,-0.10,B7III,*
1463,48Nu  Eri,29248,,Nu  Eri,04 36 19.1,-03 21 09,3.93,-0.21,B2III,*
1464,52Ups2Eri,29291,,,04 35 33.0,-30 33 44,3.82,0.98,G8IIIa,*
1465,Alp Dor,29305,,Alp Dor,04 33 59.8,-55 02 42,3.27,-0.10,A0IIISi,*
1466,2    Cam,29316,3358,,04 39 58.1,+53 28 23,5.35,0.32,A8V,*
1467,3    Cam,29317,3359,1681,04 39 54.7,+53 04 47,5.05,1.07,K0III,*
1468,,29329,,,04 46 00.3,+76 36 40,6.49,0.51,F7V,
1469,,29335,,1671,04 37 13.7,+00 59 54,5.31,-0.12,B7V,*
1470,,29364,3353,1676,04 38 29.6,+26 56 24,6.47,,F2V:,*
1471,,29365,,HU Tau,04 38 15.8,+20 41 05,5.92,-0.05,B8V,*
1472,89    Tau,29375,,,04 38 09.4,+16 02 00,5.79,0.31,F0V,*
1473,90    Tau,29388,,,04 38 09.5,+12 30 39,4.27,0.12,A6V,*
1474,51    Eri,29391,3350,,04 37 36.1,-02 28 24,5.23,0.28,F0V,*
1475,,29399,,1659,04 33 34.0,-62 49 25,5.79,1.04,K1III,
1476,,29435,,,04 36 50.9,-30 43 00,6.30,-0.10,B9IV-V,
1477,,29459,,,04 39 23.1,+25 13 06,6.22,0.16,A5Vn,
