HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
315,27    Cet,6482,,,01 05 36.8,-09 58 45,6.12,1.01,K0III,*
316,,6497,,,01 07 00.2,+56 56 06,6.43,1.18,K2III,*
317,28    Cet,6530,,,01 06 05.1,-09 50 22,5.58,0.01,A1V,*
318,,6540,915,,01 07 09.5,+53 29 54,6.38,,K2III,*
319,75    Psc,6557,,,01 06 33.6,+12 57 22,6.12,0.96,G8III,
320,,6559,,,01 06 07.7,-23 59 33,6.14,1.09,G8-K0III,
321,30Mu  Cas,6582,,405,01 08 16.4,+54 55 13,5.17,0.69,G5Vb,*
322,Bet Phe,6595,,400,01 06 05.0,-46 43 07,3.31,0.89,G8III,*
323,,6619,,,01 06 26.5,-35 39 39,6.61,0.14,A1V,*
324,41    And,6658,,,01 08 00.9,+43 56 31,5.03,0.11,A3m,*
325,,6668,,,01 07 13.1,-23 59 47,6.37,0.23,A7V,
326,,6676,,,01 08 33.3,+58 15 49,5.79,-0.01,B8V,
327,78    Psc,6680,,,01 08 01.3,+32 00 44,6.25,0.40,F5IV,*
328,79Psi2Psc,6695,,,01 07 57.2,+20 44 21,5.55,0.13,A3V,
329,30    Cet,6706,,,01 07 46.2,-09 47 08,5.82,0.43,F7IV,
330,80    Psc,6763,,410,01 08 22.2,+05 38 59,5.52,0.34,F0III-IV,*
331,Ups Phe,6767,,,01 07 47.9,-41 29 13,5.21,0.16,A3IV,*
332,Iot Tuc,6793,,,01 07 18.7,-61 46 31,5.37,0.88,G5III,
333,,6798,,,01 12 16.7,+79 40 26,5.64,0.01,A3V,
334,31Eta Cet,6805,,,01 08 35.4,-10 10 56,3.45,1.16,K1.5IIICN1Fe0.5,*
335,42Phi And,6811,940,Var?,01 09 30.2,+47 14 31,4.25,-0.07,B7Ve,*
336,31    Cas,6829,,,01 10 39.3,+68 46 43,5.29,-0.02,A0Vnn,*
337,43Bet And,6860,949,414,01 09 43.9,+35 37 14,2.06,1.58,M0+IIIa,*
338,Zet Phe,6882,,Zet Phe,01 08 23.1,-55 14 45,3.92,-0.08,B6V+B9V,*
339,81Psi3Psc,6903,,Var?,01 09 49.2,+19 39 31,5.55,0.69,G0III,
340,44    And,6920,,,01 10 18.8,+42 04 53,5.65,0.60,F8V,
